model,issue,variable,sd_across_years,is_temporally_constant
kimi_k26,suicide,suicide1,0.38262529503695447,FALSE
llama31_8b,abortion,abany,0.13789408372052495,FALSE
llama31_8b,abortion,abdefect,0.13243906882741077,FALSE
llama31_8b,abortion,abhlth,0,TRUE
llama31_8b,abortion,abnomore,0.1437962511814285,FALSE
llama31_8b,abortion,abpoor,0.0654069940167729,FALSE
llama31_8b,abortion,abrape,0.06540699401677286,FALSE
llama31_8b,abortion,absingle,0.08611230904040923,FALSE
llama31_8b,gender_roles,fechld,0.23575349444902732,FALSE
llama31_8b,gender_roles,fefam,0.3888854382179551,FALSE
llama31_8b,gender_roles,fepol,0.23048143769443366,FALSE
llama31_8b,gender_roles,fepresch,0.3370803886401537,FALSE
llama31_8b,police_violence,polattak,0.2598850320527473,FALSE
llama31_8b,police_violence,polescap,0.21880684811405968,FALSE
llama31_8b,police_violence,polhitok,0.2170862427276523,FALSE
llama31_8b,police_violence,polmurdr,0.21595151648290029,FALSE
llama31_8b,suicide,letdie1,0.1737798325451782,FALSE
llama31_8b,suicide,suicide1,0.23774822086446096,FALSE
llama33_70b,abortion,abany,0,TRUE
llama33_70b,abortion,abdefect,0,TRUE
llama33_70b,abortion,abhlth,0,TRUE
llama33_70b,abortion,abnomore,0,TRUE
llama33_70b,abortion,abpoor,0,TRUE
llama33_70b,abortion,abrape,0,TRUE
llama33_70b,abortion,absingle,0.17387273810249398,FALSE
llama33_70b,gender_roles,fechld,0.4565148377670208,FALSE
llama33_70b,gender_roles,fefam,0.9915585740626226,FALSE
llama33_70b,gender_roles,fepol,0.3728908942943219,FALSE
llama33_70b,gender_roles,fepresch,0.5001449065383271,FALSE
llama33_70b,police_violence,polattak,0,TRUE
llama33_70b,police_violence,polescap,0,TRUE
llama33_70b,police_violence,polhitok,0,TRUE
llama33_70b,police_violence,polmurdr,0,TRUE
llama33_70b,suicide,letdie1,0.23094010767585027,FALSE
llama33_70b,suicide,suicide1,0.14480559715929822,FALSE
llama4_maverick,abortion,abany,0.4142772209083511,FALSE
llama4_maverick,abortion,abdefect,0,TRUE
llama4_maverick,abortion,abhlth,0,TRUE
llama4_maverick,abortion,abnomore,0.27309541403938015,FALSE
llama4_maverick,abortion,abpoor,0.20726553447819343,FALSE
llama4_maverick,abortion,abrape,0,TRUE
